"Stu_ID","Gender","Sch_Type","Math_Overall","Math_Reasoning","Math_Relation","Math_Quantity"
84000812,1,3,452.238,498.311,536.413,486.98
84006058,1,3,492.668,495.425,458.141,498.445
84000031,1,3,524.697,554.227,589.725,524.921
84001531,2,3,467.772,410.795,453.65,436.745
84001722,2,3,372.596,371.21,398.01,390.193
84008051,1,3,568.978,609.835,509.535,528.12
84002640,1,3,435.478,473.061,494.915,427.536
84000090,1,NA,567.228,499.932,559.395,559.974
84002457,2,NA,656.97,583.461,487.13,551.227
84005143,2,3,480.17,435.896,488.046,468.261
84006792,2,3,447.316,446.893,442.153,411.162
84001340,1,3,348.674,420.274,337.006,372.8
84003940,2,3,373.42,412.381,434.177,407.445
84005532,2,3,496.282,460.08,491.703,515.677
84006577,2,3,440.133,472.521,453.741,445.347
84007005,1,3,348.382,403.34,328.014,309.709
84001302,1,3,469.07,440.166,471.472,461.571
84005242,1,3,454.431,434.353,472.246,518.921
84004235,2,3,426.255,489.199,497.221,526.95
84004813,2,3,622.716,647.752,594.543,619.084
84007471,2,3,411.271,449.074,374.187,449.523
84000474,2,3,346.574,357.872,314.834,324.501
84003933,2,3,482.432,517.044,462.605,473.881
84004556,2,3,465.232,502.35,475.315,459.427
84001532,2,3,345.729,254.298,270.191,209.575
84006378,1,3,556.54,541.657,553.963,504.516
84007450,2,3,546.181,566.827,568.789,606.992
84004322,2,3,488.517,428.39,445.792,434.729
84005953,1,3,639.281,619.916,672.715,695.973
84007798,1,3,488.63,550.668,448.123,446.578
84000498,2,3,410.026,365.359,378.195,414.693
84005372,2,3,415.056,401.839,361.561,393.904
84003732,1,1,426.837,480.736,460.745,462.48
84000208,2,3,527.749,539.159,597.323,583.33
84000855,1,3,420.8,412.42,460.559,431.039
84001387,1,3,584.487,570.825,621.527,598.211
84005117,1,3,446.756,438.056,457.322,461.679
84004695,1,3,405.305,397.65,409.153,438.239
84000399,1,1,501.886,407.491,464.544,543.541
84006167,2,3,416.241,356.355,410.478,427.266
84002283,1,3,425.596,415.872,373.36,385.407
84006232,2,3,363.46,376.932,319.433,339.076
84000352,1,3,537.753,547.957,584.665,543.789
84001483,1,3,443.621,446.036,411.623,399.116
84003043,2,3,341.923,374.966,403.078,367.716
84000688,2,3,514.658,489.095,461.25,495.95
84001087,2,3,454.267,467.448,490.412,481.604
84007731,2,3,489.021,427.785,511.29,441.497
84006542,2,3,572.749,633.469,597.441,624.289
84007777,1,3,600.336,598.481,627.961,637.27
84004006,1,2,385.727,270.388,379.723,388.118
84000437,1,3,350.437,437.235,422.408,372.383
84003636,1,3,362.808,371.435,332.834,382.586
84006055,2,3,623.953,665.114,603.942,524.985
84006783,1,3,474.931,424.572,444.205,395.041
